player_name,team_abbreviation,age,player_height,pts,reb,season
Zaza Pachulia,ATL,24,210.82,5.2,4,2007-08
Danny Granger,IND,25,203.2,19.6,6.1,2007-08
Acie Law,ATL,23,190.5,4.2,1,2007-08
Eddie House,BOS,30,185.42,7.5,2.1,2007-08
Eddie Jones,DAL,36,198.12,3.7,2.8,2007-08
Eddy Curry,NYK,25,210.82,13.2,4.7,2007-08
Eduardo Najera,DEN,31,203.2,5.9,4.3,2007-08
Elton Brand,LAC,29,203.2,17.6,8,2007-08
Emeka Okafor,CHA,25,208.28,13.8,10.7,2007-08
Eric Piatkowski,PHX,37,200.66,2.4,0.8,2007-08
Eric Snow,CLE,35,190.5,1,0.9,2007-08
Erick Dampier,DAL,32,210.82,6.1,7.5,2007-08
Fabricio Oberto,SAS,33,208.28,4.8,5.2,2007-08
Flip Murray,IND,28,190.5,9.4,2,2007-08
Eddie Gill,SEA,29,182.88,2.7,1.6,2007-08
Francisco Elson,SEA,32,213.36,3.3,3.2,2007-08
Fred Jones,NYK,29,187.96,7.6,2.4,2007-08
Gabe Pruitt,BOS,22,193.04,2.1,0.5,2007-08
Gerald Green,HOU,22,203.2,5.1,2.1,2007-08
Gerald Wallace,CHA,25,200.66,19.4,6,2007-08
Gilbert Arenas,WAS,26,193.04,19.4,3.9,2007-08
Glen Davis,BOS,22,205.74,4.5,3,2007-08
Gordan Giricek,PHX,31,198.12,5.8,1.7,2007-08
Grant Hill,PHX,35,203.2,13.1,5,2007-08
Greg Buckner,MIN,31,193.04,4,2.1,2007-08
Guillermo Diaz,LAC,23,187.96,0.8,0.3,2007-08
Hakim Warrick,MEM,25,205.74,11.4,4.7,2007-08
Francisco Garcia,SAC,26,200.66,12.3,3.3,2007-08
Hedo Turkoglu,ORL,29,208.28,19.5,5.7,2007-08
Earl Watson,SEA,29,185.42,10.7,2.9,2007-08
Earl Barron,MIA,26,213.36,7.1,4.3,2007-08
David Harrison,IND,25,213.36,4.2,2.1,2007-08
David Lee,NYK,25,205.74,10.8,8.9,2007-08
David West,NOH,27,205.74,20.6,8.9,2007-08
DeSagana Diop,NJN,26,213.36,2.9,5,2007-08
DeShawn Stevenson,WAS,27,195.58,11.2,2.9,2007-08
Delonte West,CLE,24,190.5,8.3,3.2,2007-08
Demetris Nichols,CHI,23,203.2,1.1,0.4,2007-08
DerMarr Johnson,SAS,28,205.74,3.4,0.2,2007-08
Derek Anderson,CHA,33,195.58,5,1.9,2007-08
Derek Fisher,LAL,33,185.42,11.7,2.1,2007-08
Deron Williams,UTA,24,190.5,18.8,3,2007-08
Earl Boykins,CHA,32,165.1,5.1,0.9,2007-08
Desmond Mason,MIL,30,195.58,9.7,4.3,2007-08
Devin Brown,CLE,29,195.58,7.5,3.4,2007-08
Devin Harris,NJN,25,190.5,14.8,2.7,2007-08
Dikembe Mutombo,HOU,42,218.44,3,5.1,2007-08
Dirk Nowitzki,DAL,30,213.36,23.6,8.6,2007-08
Dominic McGuire,WAS,22,205.74,1.3,2,2007-08
Donyell Marshall,SEA,35,205.74,3.8,2.9,2007-08
Dorell Wright,MIA,22,205.74,7.9,5,2007-08
Drew Gooden,CHI,26,208.28,12,8.6,2007-08
Dwayne Jones,CLE,25,210.82,1.4,2.5,2007-08
Dwight Howard,ORL,22,210.82,20.7,14.2,2007-08
Dwyane Wade,MIA,26,193.04,24.6,4.2,2007-08
Devean George,DAL,30,203.2,3.7,2.6,2007-08
Darryl Watkins,SAC,23,210.82,1.3,1.3,2007-08
Hilton Armstrong,NOH,23,210.82,2.7,2.5,2007-08
Ike Diogu,IND,24,203.2,5.6,2.8,2007-08
Jason Terry,DAL,30,187.96,15.5,2.5,2007-08
Jason Williams,MIA,32,185.42,8.8,1.9,2007-08
Javaris Crittenton,MEM,20,195.58,5.6,2.2,2007-08
Jeff Foster,IND,31,210.82,6.4,8.7,2007-08
Jeff Green,SEA,21,205.74,10.5,4.7,2007-08
Jeff McInnis,CHA,33,193.04,4.5,1.8,2007-08
Jelani McCoy,DEN,30,208.28,0.5,1.2,2007-08
Jeremy Richardson,ATL,24,200.66,1.5,0.3,2007-08
Jermaine O'Neal,IND,29,210.82,13.6,6.7,2007-08
Jermareo Davidson,CHA,23,208.28,3.2,1.6,2007-08
Jerome James,NYK,32,215.9,2,1.5,2007-08
Jason Smith,PHI,22,213.36,4.5,3,2007-08
Jerry Stackhouse,DAL,33,198.12,10.7,2.3,2007-08
Joe Johnson,ATL,27,200.66,21.7,4.5,2007-08
Joe Smith,CLE,32,208.28,10.1,5.2,2007-08
Joel Anthony,MIA,25,205.74,3.5,3.9,2007-08
Joel Przybilla,POR,28,215.9,4.8,8.4,2007-08
Joey Graham,TOR,26,200.66,3.6,1.8,2007-08
Johan Petro,SEA,22,213.36,6,5.1,2007-08
John Salmons,SAC,28,198.12,12.5,4.3,2007-08
Jordan Farmar,LAL,21,187.96,9.1,2.2,2007-08
Jorge Garbajosa,TOR,30,205.74,3.1,2.1,2007-08
Jose Calderon,TOR,26,190.5,11.2,2.9,2007-08
Josh Boone,NJN,23,208.28,8.2,7.3,2007-08
Joakim Noah,CHI,23,210.82,6.6,5.6,2007-08
Ian Mahinmi,SAS,21,210.82,3.5,0.8,2007-08
Jason Richardson,CHA,27,198.12,21.8,5.4,2007-08
Jason Kidd,DAL,35,193.04,10.8,7.5,2007-08
Ime Udoka,SAS,30,195.58,5.8,3.1,2007-08
Ira Newble,LAL,33,200.66,3.8,2.6,2007-08
J.J. Barea,DAL,24,182.88,4.3,1.1,2007-08
JJ Redick,ORL,24,193.04,4.1,0.7,2007-08
JR Smith,DEN,22,198.12,12.3,2.1,2007-08
Jacque Vaughn,SAS,33,185.42,4.1,1,2007-08
Jake Voskuhl,MIL,30,210.82,2.2,2.2,2007-08
Jamaal Magloire,DAL,30,210.82,1.8,2.9,2007-08
Jamaal Tinsley,IND,30,190.5,11.9,3.6,2007-08
Jamal Crawford,NYK,28,195.58,20.6,2.6,2007-08
Jamario Moon,TOR,28,203.2,8.5,6.2,2007-08
