player_name,team_abbreviation,age,player_height,pts,reb,season
Dwyane Wade,MIA,31,75.88,21.2,5.0,2012-13
Chris Andersen,MIA,34,81.87,4.9,4.1,2012-13
Chris Bosh,MIA,29,82.87,16.6,6.8,2012-13
LeBron James,MIA,28,79.87,26.8,8.0,2012-13
Joel Anthony,MIA,30,80.87,1.4,1.9,2012-13
Juwan Howard,MIA,40,80.87,3.0,1.1,2012-13
Josh Harrellson,MIA,24,81.87,1.7,1.2,2012-13
James Jones,MIA,32,79.87,1.6,0.6,2012-13
Jarvis Varnado,MIA,25,80.87,0.6,0.7,2012-13
Mario Chalmers,MIA,27,73.88,8.6,2.2,2012-13
Ray Allen,MIA,37,76.88,10.9,2.7,2012-13
Rashard Lewis,MIA,33,81.87,5.2,2.2,2012-13
Shane Battier,MIA,34,79.87,6.6,2.3,2012-13
Mike Miller,MIA,33,79.87,4.8,2.7,2012-13
Norris Cole,MIA,24,73.88,5.6,1.6,2012-13
Udonis Haslem,MIA,33,79.87,3.9,5.4,2012-13
