player_name,team_abbreviation,age,player_height,pts,reb,season
Aron Baynes,SAS,27,81.87,3.0,2.7,2013-14
Austin Daye,SAS,26,82.87,3.0,1.2,2013-14
Boris Diaw,SAS,32,79.87,9.1,4.1,2013-14
Kawhi Leonard,SAS,23,78.87,12.8,6.2,2013-14
Jeff Ayres,SAS,27,80.87,3.3,3.5,2013-14
Danny Green,SAS,27,77.88,9.1,3.4,2013-14
Damion James,SAS,26,78.87,1.2,2.4,2013-14
Cory Joseph,SAS,22,74.88,5.0,1.6,2013-14
Tiago Splitter,SAS,29,82.87,8.2,6.2,2013-14
Tim Duncan,SAS,38,82.87,15.1,9.7,2013-14
Tony Parker,SAS,32,73.88,16.7,2.3,2013-14
Matt Bonner,SAS,34,81.87,3.2,2.1,2013-14
Marco Belinelli,SAS,28,76.88,11.4,2.8,2013-14
Manu Ginobili,SAS,36,77.88,12.3,3.0,2013-14
Patty Mills,SAS,25,71.88,10.2,2.1,2013-14
